,value
strategy,ow_daily_high
n_days,250
n_stockdays,4902
total_pnl_unpert,291810.9361611849
total_pnl_pert,5151401.913503796
total_pnl_mid_raw,291810.9361611849
total_pnl_sim,291810.9361611849
total_pnl_mid,291810.9361611849
total_impact_cost,4859590.977342611
mean_daily_pnl_unpert,1167.2437446447398
std_daily_pnl_unpert,2066.497687262622
mean_daily_pnl_sim,1167.2437446447398
std_daily_pnl_sim,2066.497687262622
sharpe_unpert,8.96658153578652
sharpe_pert,85.62872375971621
sharpe_mid_raw,8.96658153578652
sharpe_sim,8.96658153578652
sharpe_mid,8.96658153578652
max_drawdown,-9474.704121608534
max_impact_dislocation,0.00022963332147975246
win_rate,0.732
total_turnover,2315500698.820614
total_day_volume,3995423792.0
realized_participation,0.5795381965379791
flow_flag_count,2045656
